"Tempo","Estação","LAT","LONG","Movimentação","Original_473","Original_269","Zero","Maçã-Verde","Tangerina","Citrus","Açaí-Guaraná","Pêssego","TARGET"
2019-5-23,Brooklin,-23.6263,-46.6878,27567,43,65,33,14,5,17,24,38,REABASTECER
2018-2-24,Campo Belo,-23.6188,-46.6823,26325,74,42,56,7,15,20,34,11,NORMAL
2018-3-11,Campo Belo,-23.6188,-46.6823,26829,74,65,58,12,28,11,7,34,NORMAL
2019-2-21,Brooklin,-23.6263,-46.6878,26600,86,19,39,10,35,19,9,22,NORMAL
2019-2-22,Brooklin,-23.6263,-46.6878,29046,74,16,32,8,29,13,6,16,NORMAL
2019-3-5,Brooklin,-23.6263,-46.6878,26650,23,65,13,14,22,16,40,11,NORMAL
2019-7-16,Brooklin,-23.6263,-46.6878,28780,27,65,7,33,36,34,28,19,NORMAL
2018-4-8,Campo Belo,-23.6188,-46.6823,26816,86,7,57,8,11,24,25,15,REABASTECER
2019-7-25,Brooklin,-23.6263,-46.6878,29704,28,65,9,43,1,4,38,20,REABASTECER
2019-3-27,Brooklin,-23.6263,-46.6878,28804,64,16,65,15,30,15,43,5,NORMAL
2018-4-22,Campo Belo,-23.6188,-46.6823,23524,34,52,19,9,43,39,18,43,NORMAL
2019-4-5,Brooklin,-23.6263,-46.6878,27185,77,49,14,25,33,37,6,14,NORMAL
2018-5-3,Campo Belo,-23.6188,-46.6823,24554,86,40,6,12,43,41,16,40,REABASTECER
2018-5-15,Campo Belo,-23.6188,-46.6823,24442,60,35,45,21,38,39,10,33,NORMAL
2019-4-22,Brooklin,-23.6263,-46.6878,26252,86,54,42,14,16,23,8,36,NORMAL
2019-9-4,Brooklin,-23.6263,-46.6878,28531,79,34,19,13,13,26,4,34,REABASTECER
2019-4-30,Brooklin,-23.6263,-46.6878,27755,1,65,65,36,24,43,25,6,NORMAL
2019-5-3,Brooklin,-23.6263,-46.6878,29923,63,48,39,29,11,36,13,34,NORMAL
2019-9-14,Brooklin,-23.6263,-46.6878,28317,65,36,26,33,15,41,2,37,REABASTECER
2019-9-19,Brooklin,-23.6263,-46.6878,27701,17,57,65,18,35,21,29,19,NORMAL
2019-5-16,Brooklin,-23.6263,-46.6878,26918,28,32,14,33,39,34,10,20,NORMAL
2019-5-18,Brooklin,-23.6263,-46.6878,26652,11,28,65,26,28,26,43,14,NORMAL
2018-6-16,Campo Belo,-23.6188,-46.6823,26504,21,30,34,17,34,33,22,36,NORMAL
2019-10-3,Brooklin,-23.6263,-46.6878,27921,50,30,27,19,30,27,15,6,REABASTECER
2019-6-10,Brooklin,-23.6263,-46.6878,27004,49,45,42,8,17,9,43,5,REABASTECER
2019-10-17,Brooklin,-23.6263,-46.6878,28565,86,14,65,28,14,26,38,40,NORMAL
2018-7-24,Campo Belo,-23.6188,-46.6823,25503,75,61,37,2,25,43,11,17,NORMAL
2018-8-16,Campo Belo,-23.6188,-46.6823,23628,26,61,14,24,17,5,23,12,NORMAL
2019-12-3,Brooklin,-23.6263,-46.6878,27251,79,54,65,42,34,28,31,41,NORMAL
2019-12-10,Brooklin,-23.6263,-46.6878,28977,9,5,13,13,10,11,2,13,NORMAL
2019-12-14,Brooklin,-23.6263,-46.6878,28542,64,54,48,37,36,39,30,40,NORMAL
2019-8-11,Brooklin,-23.6263,-46.6878,27191,48,52,37,34,23,23,13,43,NORMAL
2019-8-18,Brooklin,-23.6263,-46.6878,26498,64,8,55,14,43,38,25,12,REABASTECER
2019-12-24,Brooklin,-23.6263,-46.6878,29995,44,65,51,7,38,4,29,5,NORMAL
2018-9-23,Campo Belo,-23.6188,-46.6823,26292,7,22,29,11,6,19,10,1,NORMAL
2018-1-8,Campo Belo,-23.6188,-46.6823,26916,9,13,18,18,13,22,21,21,REABASTECER
2018-10-12,Campo Belo,-23.6188,-46.6823,26836,86,45,26,7,23,41,23,43,NORMAL
2019-9-26,Brooklin,-23.6263,-46.6878,27287,38,12,13,39,13,7,43,32,NORMAL
2018-2-1,Campo Belo,-23.6188,-46.6823,25268,46,25,3,38,12,5,4,12,NORMAL
2018-2-6,Campo Belo,-23.6188,-46.6823,24203,86,10,41,23,41,34,28,35,NORMAL
2018-2-9,Campo Belo,-23.6188,-46.6823,26770,53,56,23,13,32,25,13,23,NORMAL
2019-10-10,Brooklin,-23.6263,-46.6878,28390,76,55,42,43,2,8,23,22,REABASTECER
2018-11-8,Campo Belo,-23.6188,-46.6823,26465,86,2,22,16,36,36,43,27,REABASTECER
2018-2-18,Campo Belo,-23.6188,-46.6823,24379,42,65,34,28,41,40,19,33,NORMAL
2018-11-10,Campo Belo,-23.6188,-46.6823,24065,68,59,10,7,29,36,37,17,NORMAL
2019-10-22,Brooklin,-23.6263,-46.6878,27650,32,42,37,15,38,13,16,19,NORMAL
2018-11-21,Campo Belo,-23.6188,-46.6823,26512,60,65,8,17,22,5,30,19,REABASTECER
2018-11-22,Campo Belo,-23.6188,-46.6823,23215,52,63,65,13,16,43,25,15,NORMAL
